iter	MultiClass
295	1.092316449
296	1.091771404
297	1.091591877
298	1.09113227
299	1.090184599
300	1.089513792
301	1.088982307
302	1.088362738
303	1.088047049
304	1.087930121
305	1.087086158
306	1.086562144
307	1.086060918
308	1.085399259
309	1.084759192
310	1.084489336
311	1.084219281
312	1.0840394
313	1.083934829
314	1.083708446
315	1.083171026
316	1.082511644
317	1.082341647
318	1.082008787
319	1.081068714
320	1.080570178
321	1.079813237
322	1.079673305
323	1.079134553
324	1.078652914
325	1.078079071
326	1.077861445
327	1.07753773
328	1.077320827
329	1.076901531
330	1.07656786
331	1.076495224
332	1.07581074
333	1.07547158
334	1.075298636
335	1.074819211
336	1.074608365
337	1.074012174
338	1.073343183
339	1.073153175
340	1.07297606
341	1.072617727
342	1.072173778
343	1.072096768
344	1.07152232
345	1.071047587
346	1.070930463
347	1.070592056
348	1.069859143
349	1.06932223
350	1.069171147
351	1.068906673
352	1.06841705
353	1.067923544
354	1.067808889
355	1.067140082
356	1.066643659
357	1.066442381
358	1.065927331
359	1.065353061
360	1.065000288
361	1.064853335
362	1.064167999
363	1.063579799
364	1.062926395
365	1.062426503
366	1.062326783
367	1.062108164
368	1.061966133
369	1.061703437
370	1.061414621
371	1.060847626
372	1.060589193
373	1.060359297
374	1.060171259
375	1.060008072
376	1.059588909
377	1.059092679
378	1.058606385
379	1.057976889
380	1.057418695
381	1.057289634
382	1.057158089
383	1.056962298
384	1.056361424
385	1.056250583
386	1.055642418
387	1.055543631
388	1.055491612
389	1.055249721
390	1.05485057
391	1.054377465
392	1.05403697
393	1.053590413
394	1.053498461
395	1.053099981
396	1.052634822
397	1.052118753
398	1.051663897
399	1.051360283
400	1.050969227
401	1.050482729
402	1.050116414
403	1.049845319
404	1.049783372
405	1.049268983
406	1.049084244
407	1.0487927
408	1.048473225
409	1.048052644
410	1.047920439
411	1.047864869
412	1.047756689
413	1.047393459
414	1.047007328
415	1.046888679
416	1.046723668
417	1.046334309
418	1.046019325
419	1.04547632
420	1.045181683
421	1.045108591
422	1.044918348
423	1.044855354
424	1.044696719
425	1.044301707
426	1.043819301
427	1.043721936
428	1.043301893
429	1.043056531
430	1.042468601
431	1.041815217
432	1.041675433
433	1.041430231
434	1.041257651
435	1.040961187
436	1.040553778
437	1.040267463
438	1.039983855
439	1.039929577
440	1.039565943
441	1.039134792
442	1.03906815
443	1.038772677
444	1.03857103
445	1.038273465
446	1.038011189
447	1.03786441
448	1.037461874
449	1.037146561
450	1.037002088
451	1.036862658
452	1.03678643
453	1.03626866
454	1.035973888
455	1.035470027
456	1.035269459
457	1.035198863
458	1.035143306
459	1.034710056
460	1.034327326
461	1.034128411
462	1.033864636
463	1.033671945
464	1.033176292
465	1.032916374
466	1.032781064
467	1.03254576
468	1.032377937
469	1.032012163
470	1.031869625
471	1.031801447
472	1.031629822
473	1.031248075
474	1.03082679
475	1.030599426
476	1.030144081
477	1.029753433
478	1.029678652
479	1.029273768
480	1.029003686
481	1.028558197
482	1.02828343
483	1.028069191
484	1.027716307
485	1.027659852
486	1.02728481
487	1.027004489
488	1.026824756
489	1.026756276
490	1.026407521
491	1.026038769
492	1.025989295
493	1.025913119
494	1.025822778
495	1.025673422
496	1.025208436
497	1.025013571
498	1.02487573
499	1.024494312
500	1.024319294
501	1.024280694
502	1.024197752
503	1.0241155
504	1.023974914
505	1.023861313
506	1.023551171
507	1.023321553
508	1.023150898
509	1.023096658
510	1.023048099
511	1.022863739
512	1.02278056
513	1.022735742
514	1.022501151
515	1.022376408
516	1.022187602
517	1.021823206
518	1.021665117
519	1.021423874
520	1.02128799
521	1.021046304
522	1.020830036
523	1.020730336
524	1.02066114
525	1.020603547
526	1.020534762
527	1.020332784
528	1.020257218
529	1.01979768
530	1.019608097
531	1.019430568
532	1.019199985
533	1.018971583
534	1.018396659
535	1.018076211
536	1.017892371
537	1.017563136
538	1.017287437
539	1.016938339
540	1.016873141
541	1.016581067
542	1.016506766
543	1.016291657
544	1.016127769
545	1.015854276
546	1.015447995
547	1.015226682
548	1.014966791
549	1.014715006
550	1.014444107
551	1.01423302
552	1.014190279
553	1.013954821
554	1.013803702
555	1.013726316
556	1.013671679
557	1.013581138
558	1.013351225
559	1.01313582
560	1.013051882
561	1.012563227
562	1.012157039
563	1.011733437
564	1.011620599
565	1.011355532
566	1.011084335
567	1.010878925
568	1.010470487
569	1.010255595
570	1.010096092
571	1.009705355
572	1.009421671
573	1.009118656
574	1.009055996
575	1.008880214
576	1.008664065
577	1.008378059
578	1.008154434
579	1.008113443
580	1.008056904
581	1.007956474
582	1.007868596
583	1.00761071
584	1.007582536
585	1.007483775
586	1.007198658
587	1.007085102
588	1.006883271
589	1.006836368
590	1.006624585
591	1.00649611
592	1.006324674
593	1.005916082
594	1.005882132
595	1.005853487
596	1.005695447
597	1.005454546
598	1.005386338
599	1.005263567
600	1.005012143
601	1.004760417
602	1.004668503
603	1.004503858
604	1.004368074
605	1.004077833
606	1.00371041
607	1.003258191
608	1.002880636
609	1.002628502
610	1.002452399
611	1.00229224
612	1.002158857
613	1.001967232
614	1.001938663
615	1.001836455
616	1.001804809
617	1.001626619
618	1.001245104
619	1.0009592
620	1.00080271
621	1.000654896
622	1.000581071
623	1.000469209
624	1.000332164
625	1.000137133
626	0.9998642886
627	0.9997479326
628	0.9995074589
629	0.9994708421
630	0.9989157019
631	0.9988425055
632	0.9987304872
633	0.998708866
634	0.998321222
635	0.997955344
636	0.9978386724
637	0.9976914312
638	0.9976534831
639	0.9975046453
640	0.9970000419
641	0.9967453201
642	0.9965726914
643	0.9964750403
644	0.9961724751
645	0.9959771105
646	0.9958767971
647	0.9958410896
648	0.995567421
649	0.9952248483
650	0.9951320121
651	0.9950811214
652	0.9949636111
653	0.9949208087
654	0.9948490204
655	0.9947063358
656	0.9946744455
657	0.9946433464
658	0.9944362506
659	0.9942932656
660	0.9941786636
661	0.9940654223
662	0.9938378063
663	0.9938110091
664	0.9937803995
665	0.9937375814
666	0.9934716757
667	0.9932483523
668	0.9930864359
669	0.9929985183
670	0.9928381804
671	0.9925313962
672	0.9920159248
673	0.9919487297
674	0.9919375915
675	0.9917992908
676	0.9916826532
677	0.9913728712
678	0.9911857109
679	0.9911225615
680	0.9910299315
681	0.9907713383
682	0.9905033798
683	0.9900634311
684	0.9899823368
685	0.9897534874
686	0.989654022
687	0.9894079588
688	0.9891070274
689	0.9888985064
690	0.9888595164
691	0.9888353435
692	0.9887008917
693	0.988422893
694	0.9882254564
695	0.9878017952
696	0.987564455
697	0.9875301366
698	0.9872105927
699	0.9871586856
700	0.9869170507
701	0.9867759657
702	0.9864320731
703	0.9861881077
704	0.9858518284
705	0.9858291942
706	0.9856333514
707	0.9856026232
708	0.9855517975
709	0.9855369651
710	0.9853499592
711	0.9852935723
712	0.9852692519
713	0.9851098719
714	0.9848528247
715	0.9846764883
716	0.9845681712
717	0.9845470937
718	0.984438754
719	0.9842430172
720	0.9841497511
721	0.9840768077
722	0.9838299189
723	0.983776745
724	0.9836624183
725	0.9834364314
726	0.9832552242
727	0.9831244889
728	0.9829648491
729	0.9827062343
730	0.9826660592
731	0.9825720866
732	0.9825362221
733	0.9825182908
734	0.9824373149
735	0.9822337018
736	0.9820991984
737	0.9818877661
738	0.9818336816
739	0.9815716645
740	0.9813479914
741	0.9810982563
742	0.9809945474
743	0.980682882
744	0.9804567122
745	0.9802038208
746	0.9800409549
747	0.9799324702
748	0.9799227628
749	0.9797604072
750	0.9794145687
751	0.9792431636
752	0.9790340164
753	0.9789268838
754	0.9787922541
755	0.978759951
756	0.9786905099
757	0.9786296475
758	0.9785959666
759	0.9782446031
760	0.9781285545
761	0.9780229018
762	0.9779945249
763	0.9778982159
764	0.9777817174
765	0.9777074126
766	0.977534755
767	0.9775149679
768	0.9774844817
769	0.9773425197
770	0.9772358712
771	0.9771333887
772	0.9769626686
773	0.9768780144
774	0.9768360971
775	0.9767716921
776	0.9765810605
777	0.9765293856
778	0.9762821821
779	0.9762651557
780	0.9761614891
781	0.9760507443
782	0.9760318528
783	0.9756061556
784	0.9753731512
785	0.9752066732
786	0.9751036925
787	0.975091014
788	0.9750521456
789	0.974872941
790	0.9747116109
791	0.9746462489
792	0.9745242454
793	0.9742398766
794	0.9739658716
795	0.9738049765
796	0.9737547092
797	0.9737365529
798	0.973713495
799	0.9736177044
800	0.973429098
801	0.9732099085
802	0.9731606483
803	0.9731159232
804	0.973043419
805	0.9730298941
806	0.9728042342
807	0.9726153359
808	0.9725637306
809	0.9725567261
810	0.972282731
811	0.9720156093
812	0.9719156042
813	0.9717953967
814	0.9717801329
815	0.9715267416
816	0.9714769454
817	0.9714070523
818	0.971223273
819	0.9711330691
820	0.9709146613
821	0.9707675633
822	0.970472155
823	0.9702172218
824	0.9701078928
825	0.9700773595
826	0.9700518803
827	0.969824773
828	0.9696345363
829	0.9694604509
830	0.9693579183
831	0.9692352772
832	0.9691768488
833	0.9691076226
834	0.9690940605
835	0.9688049032
836	0.968584491
837	0.9684299383
838	0.968340164
839	0.9682838782
840	0.9682084717
841	0.9681961271
842	0.9681499372
843	0.968127304
844	0.9678320106
845	0.9675328919
846	0.9674231833
847	0.967279297
848	0.9671959368
849	0.9670333707
850	0.9668525507
851	0.9666295386
852	0.9665808198
853	0.9665077461
854	0.9663452683
855	0.9662275749
856	0.9661768263
857	0.9661380687
858	0.9658877018
859	0.9658679668
860	0.9656723856
861	0.9655413703
862	0.9655333128
863	0.9653519
864	0.9652951604
865	0.9651814791
866	0.965032028
867	0.9649416989
868	0.9648694162
869	0.9647958377
870	0.9647253695
871	0.9645988598
872	0.9645074768
873	0.9644483736
874	0.9642639833
875	0.9640092713
876	0.9639146679
877	0.9638142702
878	0.9636625947
879	0.9633959281
880	0.9632533059
881	0.9630983881
882	0.9630053042
883	0.9627785878
884	0.9626164167
885	0.962483919
886	0.9622784454
887	0.9622647083
888	0.9621800917
889	0.9621356544
890	0.9621134872
891	0.9619076649
892	0.9617289902
893	0.9615275704
894	0.961421025
895	0.9612983613
896	0.9612719847
897	0.9612259287
898	0.9611327619
899	0.9610976909
900	0.9609371257
901	0.9609126568
902	0.9608696001
903	0.9608510184
904	0.9606992569
905	0.9606152466
906	0.9605846151
907	0.9605650281
908	0.9603928032
909	0.9603150433
910	0.9600836938
911	0.9600220647
912	0.9599844322
913	0.9597790732
914	0.9597345857
915	0.9596133225
916	0.9595550759
917	0.9594150001
918	0.9593062033
919	0.9591271526
920	0.958888814
921	0.9588187284
922	0.9585723501
923	0.9585481071
924	0.958538585
925	0.9584716408
926	0.9583056942
927	0.9582446756
928	0.9580870983
929	0.9580235744
930	0.9579966631
931	0.9577985533
932	0.9577613275
933	0.9576902362
934	0.9576623327
935	0.9575901347
936	0.9574644143
937	0.9573186865
938	0.9572956214
939	0.9571802639
940	0.9570164439
941	0.9569880179
942	0.9569817603
943	0.9569206501
944	0.95680526
945	0.9567268835
946	0.9567226044
947	0.9566342898
948	0.9565067798
949	0.9563696725
950	0.9563076832
951	0.9561527523
952	0.956145257
953	0.9561070807
954	0.9560686606
955	0.9559559523
956	0.9558593124
957	0.9556958116
958	0.9556118127
959	0.9554440159
960	0.9552926358
961	0.9551455421
962	0.9551150732
963	0.9551097904
964	0.9550887164
965	0.9550140496
966	0.9548803207
967	0.9547529815
968	0.9545993088
969	0.9545516171
970	0.9545053388
971	0.9544941158
972	0.9544807812
973	0.9544689041
974	0.9544152267
975	0.9543827668
976	0.954315338
977	0.9542557877
978	0.9542357107
979	0.9540713171
980	0.9539361029
981	0.9538914053
982	0.9538562093
983	0.9538383637
984	0.9537555672
985	0.9536487052
986	0.953580166
987	0.9535152713
988	0.9534855334
989	0.9533727949
990	0.9533314742
991	0.953278433
992	0.9531627332
993	0.9530334146
994	0.9528825967
995	0.9528273452
996	0.9528215076
997	0.9528098689
998	0.952636736
999	0.9525872784
