iter	Passed	Remaining
551	3494	2836
552	3500	2829
553	3506	2822
554	3511	2815
555	3516	2808
556	3522	2801
557	3528	2794
558	3535	2789
559	3549	2788
560	3557	2784
561	3564	2778
562	3570	2771
563	3577	2765
564	3582	2758
565	3588	2751
566	3594	2745
567	3600	2738
568	3607	2732
569	3613	2725
570	3618	2718
571	3625	2712
572	3630	2705
573	3637	2699
574	3642	2692
575	3647	2685
576	3653	2678
577	3659	2672
578	3666	2665
579	3671	2658
580	3677	2652
581	3683	2645
582	3688	2638
583	3694	2632
584	3700	2625
585	3705	2618
586	3711	2611
587	3717	2604
588	3722	2597
589	3728	2590
590	3734	2584
591	3740	2577
592	3746	2571
593	3752	2564
594	3758	2558
595	3763	2551
596	3770	2545
597	3776	2538
598	3782	2532
599	3788	2525
600	3793	2518
601	3800	2512
602	3806	2505
603	3812	2499
604	3818	2492
605	3823	2486
606	3830	2479
607	3836	2473
608	3842	2467
609	3849	2461
610	3854	2454
611	3861	2447
612	3866	2441
613	3872	2434
614	3878	2427
615	3884	2421
616	3889	2414
617	3895	2407
618	3901	2401
619	3907	2394
620	3912	2388
621	3918	2381
622	3924	2374
623	3930	2368
624	3937	2362
625	3943	2356
626	3950	2349
627	3955	2343
628	3962	2337
629	3968	2330
630	3975	2324
631	3981	2318
632	3988	2312
633	3995	2306
634	4002	2300
635	4010	2295
636	4016	2288
637	4022	2282
638	4028	2276
639	4035	2269
640	4041	2263
641	4048	2257
642	4055	2251
643	4062	2245
644	4069	2239
645	4074	2232
646	4080	2226
647	4086	2219
648	4092	2213
649	4098	2206
650	4103	2200
651	4109	2193
652	4115	2186
653	4120	2180
654	4126	2173
655	4132	2167
656	4137	2160
657	4143	2153
658	4149	2147
659	4155	2140
660	4161	2134
661	4166	2127
662	4173	2121
663	4179	2114
664	4184	2108
665	4190	2101
666	4196	2095
667	4202	2088
668	4207	2081
669	4213	2075
670	4218	2068
671	4224	2062
672	4230	2055
673	4236	2049
674	4241	2042
675	4247	2035
676	4253	2029
677	4259	2022
678	4265	2016
679	4271	2010
680	4276	2003
681	4282	1996
682	4288	1990
683	4294	1984
684	4300	1977
685	4307	1971
686	4313	1965
687	4319	1959
688	4325	1952
689	4332	1946
690	4338	1940
691	4344	1933
692	4349	1927
693	4355	1920
694	4361	1913
695	4367	1907
696	4373	1901
697	4378	1894
698	4384	1888
699	4390	1881
700	4396	1875
701	4402	1868
702	4408	1862
703	4414	1855
704	4420	1849
705	4425	1842
706	4431	1836
707	4437	1830
708	4443	1823
709	4448	1817
710	4455	1810
711	4460	1804
712	4466	1797
713	4472	1791
714	4477	1784
715	4484	1778
716	4489	1772
717	4495	1765
718	4500	1759
719	4507	1753
720	4513	1746
721	4520	1740
722	4526	1734
723	4533	1728
724	4538	1721
725	4544	1715
726	4550	1708
727	4556	1702
728	4561	1695
729	4568	1689
730	4573	1683
731	4578	1676
732	4584	1669
733	4591	1663
734	4596	1657
735	4602	1650
736	4608	1644
737	4614	1638
738	4620	1631
739	4626	1625
740	4632	1619
741	4638	1612
742	4644	1606
743	4650	1600
744	4656	1593
745	4663	1587
746	4668	1581
747	4674	1574
748	4679	1568
749	4685	1561
750	4691	1555
751	4696	1548
752	4703	1542
753	4708	1536
754	4714	1529
755	4720	1523
756	4725	1516
757	4732	1510
758	4738	1504
759	4744	1498
760	4750	1491
761	4755	1485
762	4761	1478
763	4766	1472
764	4772	1466
765	4778	1459
766	4784	1453
767	4789	1446
768	4795	1440
769	4800	1433
770	4806	1427
771	4812	1421
772	4818	1414
773	4824	1408
774	4830	1402
775	4835	1395
776	4842	1389
777	4848	1383
778	4853	1377
779	4859	1370
780	4864	1364
781	4870	1357
782	4875	1351
783	4881	1344
784	4887	1338
785	4893	1332
786	4899	1325
787	4904	1319
788	4910	1313
789	4916	1306
790	4922	1300
791	4928	1294
792	4934	1287
793	4940	1281
794	4947	1275
795	4953	1269
796	4959	1263
797	4964	1256
798	4970	1250
799	4977	1244
800	4983	1237
801	4990	1231
802	4995	1225
803	5000	1219
804	5007	1212
805	5013	1206
806	5019	1200
807	5025	1194
808	5031	1187
809	5037	1181
810	5043	1175
811	5049	1169
812	5055	1162
813	5061	1156
814	5066	1150
815	5072	1143
816	5078	1137
817	5083	1131
818	5089	1124
819	5095	1118
820	5101	1112
821	5107	1106
822	5113	1099
823	5119	1093
824	5125	1087
825	5130	1080
826	5137	1074
827	5143	1068
828	5149	1062
829	5155	1055
830	5160	1049
831	5167	1043
832	5172	1037
833	5178	1030
834	5183	1024
835	5189	1018
836	5195	1011
837	5201	1005
838	5206	999
839	5212	992
840	5217	986
841	5223	980
842	5228	973
843	5234	967
844	5240	961
845	5246	955
846	5252	948
847	5258	942
848	5263	936
849	5269	929
850	5275	923
851	5282	917
852	5287	911
853	5292	904
854	5299	898
855	5305	892
856	5310	886
857	5316	879
858	5322	873
859	5327	867
860	5333	861
861	5339	854
862	5345	848
863	5352	842
864	5357	836
865	5362	829
866	5368	823
867	5374	817
868	5380	811
869	5386	804
870	5392	798
871	5397	792
872	5403	786
873	5408	779
874	5414	773
875	5420	767
876	5426	761
877	5432	754
878	5438	748
879	5445	742
880	5451	736
881	5456	730
882	5462	723
883	5468	717
884	5474	711
885	5479	705
886	5486	698
887	5491	692
888	5497	686
889	5502	680
890	5508	673
891	5515	667
892	5521	661
893	5528	655
894	5533	649
895	5539	642
896	5545	636
897	5550	630
898	5556	624
899	5562	618
900	5568	611
901	5574	605
902	5580	599
903	5586	593
904	5592	587
905	5598	580
906	5603	574
907	5609	568
908	5615	562
909	5621	555
910	5627	549
911	5633	543
912	5638	537
913	5645	531
914	5651	525
915	5657	518
916	5663	512
917	5669	506
918	5675	500
919	5681	494
920	5687	487
921	5693	481
922	5699	475
923	5704	469
924	5710	463
925	5716	456
926	5722	450
927	5728	444
928	5734	438
929	5741	432
930	5746	425
931	5752	419
932	5758	413
933	5763	407
934	5769	401
935	5775	394
936	5780	388
937	5787	382
938	5793	376
939	5799	370
940	5805	364
941	5811	357
942	5816	351
943	5822	345
944	5828	339
945	5834	333
946	5840	326
947	5846	320
948	5851	314
949	5857	308
950	5863	302
951	5869	295
952	5874	289
953	5880	283
954	5886	277
955	5893	271
956	5899	265
957	5905	258
958	5911	252
959	5917	246
960	5924	240
961	5929	234
962	5936	228
963	5942	221
964	5947	215
965	5953	209
966	5958	203
967	5964	197
968	5970	191
969	5976	184
970	5981	178
971	5987	172
972	5993	166
973	5999	160
974	6005	153
975	6010	147
976	6016	141
977	6022	135
